"","Code_ADN","Code","Nind","X50.floraison","Nbtalles","Epiaison","Longbrin","Diambrin","LongEpi","DiamEpi","PEpi","P1000","Pgrains","Tutiles","Tsteriles","essai","repetition","ID"
"1024","So-8-7024-03","Pod_137",6,50.5,10.5,51.6666666666667,207.5,1.43333333333333,51,1.98333333333333,48.495,5.71666666666667,36.425,4.5,6.16666666666667,"C","8",1024
"1025","So-10-20117-01","Pod_54",5,49,9.2,51.4,207.6,1.62,59.2,2.56,80.112,8.134,53.724,2.4,6.4,"C","8",1025
"1026","So-10-20302-02","Pod_61",6,47.5,8.66666666666667,47.3333333333333,243,1.4,53.8333333333333,1.85,59.9783333333333,6.70166666666667,42.0983333333333,4.66666666666667,4,"C","8",1026
"1027","So-10-20333-05","Pod_70",6,48,11.6666666666667,47.8333333333333,246.833333333333,1.45,70.3333333333333,2.1,78.13,7.47166666666667,56.44,3.83333333333333,7.5,"C","8",1027
"1028","So-10-20363-01","Pod_74",5,49,12,48.6,239.6,1.7,57.8,2.06,73.274,7.252,51.112,3.8,7.6,"C","8",1028
"1029","So-10-20363-03","Pod_76",6,48,9.83333333333333,47.5,234.333333333333,1.7,50.3333333333333,2.11666666666667,56.325,7.695,35.19,3.83333333333333,6,"C","8",1029
"1030","So-21-1061629-03","Pod_82",4,46,8.5,46,240.75,1.325,50,1.675,39.5675,5.4175,21.1,4.25,4.25,"C","8",1030
"1031","So-21-28371-02","Pod_84",5,50.5,7,51,218,1.43333333333333,53,1.9,53.3383333333333,6.45833333333333,31.14,2.16666666666667,4.8,"C","8",1031
"1032","So-21-28371-03","Pod_85",4,55,9.75,54.25,238.5,1.4,60.5,2.3,67.0425,6.57,41.475,2.75,7,"C","8",1032
"1033","Sa-21-30147-04","Ma_10",6,80.5,10.3333333333333,80,196.666666666667,1.41666666666667,44.6666666666667,2.33333333333333,44.5,6.135,33.7383333333333,3,6.5,"C","9",1033
"1034","Sa-21-30218-01","Ma_11",2,85.5,7,85.5,224,1.6,45.5,2.1,57.68,5.2,36.455,2.5,5,"C","9",1034
"1035","Sa-21-30218-02","Ma_12",6,86,12.3333333333333,85.3333333333333,210.833333333333,1.75,61.6666666666667,2.25,59.1933333333333,6.66833333333333,37.965,5,7.83333333333333,"C","9",1035
"1036","Sa-8-12129-01","Ma_125",5,91,13.4,91,173.4,1.6,50.8,2.26,55.806,7.962,36.458,5,8.4,"C","9",1036
"1037","Sa-8-12129-02","Ma_126",6,89.5,11.6666666666667,91,219.333333333333,1.88333333333333,53.6666666666667,2.28333333333333,66.7766666666667,7.185,37.6533333333333,3,8.33333333333333,"C","9",1037
"1038","Sa-8-12129-03","Ma_127",3,88,10.6666666666667,88.3333333333333,245.666666666667,1.9,55.3333333333333,2.3,53.7233333333333,7.07333333333333,35.1133333333333,2.66666666666667,8,"C","9",1038
"1039","Sa-8-12129-04","Ma_128",2,95.5,13,95.5,153.5,1.6,39.5,2.5,34.46,5.105,21.18,3.5,9.5,"C","9",1039
"1040","Sa-21-30507-01","Ma_14",2,86.5,14,86.5,220,2,51,2.15,67.13,6.44,46.495,6,7.5,"C","9",1040
"1041","Sa-21-30507-02","Ma_15",6,87,11.8333333333333,86.5,191.833333333333,1.61666666666667,44.3333333333333,1.88333333333333,32.1216666666667,5.18333333333333,18.83,3.66666666666667,7.83333333333333,"C","9",1041
"1042","Sa-21-30515-01","Ma_17",5,90,9.6,90.6,250.2,1.94,59.2,2.34,62.646,5.952,40.088,2.8,6.8,"C","9",1042
"1043","Sa-21-30515-02","Ma_18",4,91.5,11.25,92,174.25,1.875,47.25,2.2,42.1075,6.2575,31.94,2.75,7.75,"C","9",1043
"1044","Sa-21-28423-02","Ma_2",5,87,17,94.2,158.2,1.38,37.6,1.9,38.778,7.216,26.986,9,7,"C","9",1044
"1045","Sa-21-30529-02","Ma_20",5,82,12,81.6,243,1.92,50.6,2.42,57.258,7.258,38.584,4.6,6.6,"C","9",1045
"1046","Sa-21-30529-03","Ma_21",4,87,11.25,87.25,235,1.45,45.75,2.025,45.9425,5.895,29.485,4.5,6.5,"C","9",1046
"1047","Sa-21-82410-01","Ma_22",4,86,11,86,219.5,1.775,64.75,2.325,65.0725,7.445,45.3425,3.75,7.5,"C","9",1047
"1048","Sa-21-82410-02","Ma_23",5,86,10.2,87.6,220.6,1.64,57.4,2.08,40.476,4.998,26.43,3.4,6.6,"C","9",1048
"1049","Sa-21-82410-03","Ma_24",3,92,6.33333333333333,92.6666666666667,136.666666666667,1.23333333333333,34.6666666666667,2,31.5333333333333,6.03333333333333,21.6733333333333,2,3.33333333333333,"C","9",1049
"1050","Sa-21-82410-04","Ma_25",5,82,15.8,81.4,170.4,1.66,46.2,2.18,40.878,4.986,25.132,5.2,10.6,"C","9",1050
"1051","Sa-24-60424-01","Ma_26",4,90,8.5,90,219,1.675,44.25,2.25,55.205,5.2525,36.5475,2.25,5.75,"C","9",1051
"1052","Sa-24-60424-03","Ma_28",4,93,9.75,92.5,227,1.725,56.25,2.3,55.6075,8.0775,34.115,2.5,7.5,"C","9",1052
"1053","Sa-21-28423-03","Ma_3",4,87,17.25,87,220,1.775,42.5,2.175,40.2125,6.0925,27.255,9.75,7.75,"C","9",1053
"1054","Sa-6-3189-01","Ma_30",5,87,10.8,87.4,208.4,1.64,55,2.32,46.428,5.27,33.116,3.6,7.2,"C","9",1054
"1055","Sa-6-3189-02","Ma_31",1,93,16,93,226,2,57,2.9,64.39,8.22,43.26,6,10,"C","9",1055
"1056","Sa-6-3189-03","Ma_32",5,85,9.8,84.6,232.6,1.64,53.8,2.14,43.606,4.37,26.158,4.2,5.8,"C","9",1056
"1057","Sa-6-3385-01","Ma_34",4,84.5,12.5,85.25,230,1.65,47.75,2.225,54.1875,7.3975,36.3475,5.5,7.75,"C","9",1057
"1058","Sa-6-4253-01","Ma_35",6,83,13.3333333333333,83.1666666666667,226.5,1.61666666666667,45,2.28333333333333,59.0333333333333,6.87166666666667,40.2516666666667,5.66666666666667,8.33333333333333,"C","9",1058
"1059","Sa-6-4253-02","Ma_36",5,87,12.4,87.6,223.4,1.68,46,2.28,42.86,4.544,25.154,5,6.8,"C","9",1059
"1060","Sa-6-51263-01","Ma_37",3,86,16.3333333333333,88.6666666666667,212.333333333333,1.7,39,2.23333333333333,43.67,5.15333333333333,25.9333333333333,5.33333333333333,10.3333333333333,"C","9",1060
"1061","Sa-6-51263-02","Ma_38",3,82,15.3333333333333,82.3333333333333,234.333333333333,1.83333333333333,48,2.26666666666667,57.9466666666667,7.36,39.8166666666667,7,8.33333333333333,"C","9",1061
"1062","Sa-8-11559-01","Ma_39",4,81,8.75,81.25,226.25,1.6,47.5,2.175,59.555,6.195,42.38,2.5,6,"C","9",1062
"1063","Sa-8-11559-03","Ma_41",4,91,8.5,93,199.5,1.7,39.25,2.275,39.9425,6.4675,27.9425,2.25,5.5,"C","9",1063
"1064","Sa-8-7085-01","Ma_42",6,91,13.6666666666667,90.6666666666667,205.166666666667,1.51666666666667,45,2.4,52.4633333333333,6.96833333333333,38.5883333333333,4.33333333333333,9,"C","9",1064
"1065","Sa-8-7085-02","Ma_43",3,89,11,92,143.666666666667,1.43333333333333,45,1.8,34.51,7.14333333333333,21.7733333333333,4.33333333333333,6.66666666666667,"C","9",1065
"1066","Sa-8-7085-03","Ma_44",6,90,8.66666666666667,89,187.5,1.53333333333333,42.1666666666667,2.05,45.785,5.125,31.19,3.16666666666667,5.5,"C","9",1066
"1067","Sa-8-7085-04","Ma_45",3,89,10,90.3333333333333,245,1.6,45,2.23333333333333,49.7433333333333,6.89333333333333,29.79,3,6,"C","9",1067
"1068","Sa-8-7085-05","Ma_46",2,83,22,83,222.5,1.95,49,2.35,54.705,5.495,46.375,8,14.5,"C","9",1068
"1069","Sa-8-7085-06","Ma_47",6,82.5,12.8333333333333,83.1666666666667,228.833333333333,1.83333333333333,52.6666666666667,2.5,61.72,6.00666666666667,41.3566666666667,4.83333333333333,7.66666666666667,"C","9",1069
"1070","Sa-21-28425-02","Ma_5",6,91.5,8.83333333333333,90.6666666666667,243.166666666667,1.76666666666667,53.1666666666667,2.36666666666667,60.5066666666667,6.90666666666667,40.7466666666667,1.66666666666667,6.66666666666667,"C","9",1070
"1071","Sa-21-30147-01","Ma_7",6,89,11,88.5,237.5,1.95,55,2.75,82.5116666666667,7.03833333333333,52.995,4.33333333333333,6.66666666666667,"C","9",1071
"1072","Sa-21-30147-02","Ma_8",4,83.5,7.75,84,246.75,1.8,49,2.425,47.2875,6.3875,28.4175,2.25,5.75,"C","9",1072
"1073","Sa-21-30147-03","Ma_9",5,90,8.6,89.6,208.8,1.88,49.8,2.68,82.464,7.688,45.56,1.8,6.4,"C","9",1073
"1074","Sa-21-30218-03","Ma_13",-2,87.3414634146341,11.7626016260163,87.7971544715447,212.128048780488,1.70093495934959,48.7069105691057,2.26605691056911,51.9615447154472,6.33942682926829,34.258987804878,4.18536585365854,7.40121951219512,"C","9",1074
"1075","So-21-30218-02","Pod_100",2,58,8.5,58,232,1.85,50,2.6,61.84,4.055,36.695,2,6.5,"C","9",1075
"1076","So-21-30218-03","Pod_101",5,60,9.8,59.6,224.6,1.8,63.6,2.44,96.832,7.23,68.834,1.8,7.8,"C","9",1076
"1077","So-21-30507-01","Pod_102",6,57.5,8.83333333333333,57.3333333333333,214.833333333333,1.41666666666667,55.1666666666667,2.53333333333333,67.3666666666667,7.22166666666667,39.815,1.5,7,"C","9",1077
"1078","So-21-30522-01","Pod_105",6,53.5,10.6666666666667,52.8333333333333,212.833333333333,1.86666666666667,64.5,2.23333333333333,62.575,7.60666666666667,37.91,2.33333333333333,8.66666666666667,"C","9",1078
"1079","So-21-30522-02","Pod_106",5,56,10.4,54.6,222.6,1.46,56.2,2.18,77.03,6.168,44.768,2.4,7.6,"C","9",1079
"1080","So-21-30522-03","Pod_107",6,53,10.6666666666667,52.8333333333333,240.666666666667,1.65,68.6666666666667,2.38333333333333,73.9116666666667,7.66166666666667,49.3133333333333,3.5,7,"C","9",1080
"1081","So-21-30529-01","Pod_108",5,54,11.2,54,207.8,1.26,58.2,2.2,76.9,7.754,46.7,3.2,7.8,"C","9",1081
"1082","So-21-30529-02","Pod_109",5,53,9,52.6,219,1.2,44.8,1.9,35.18,3.992,18.48,3.2,6.2,"C","9",1082
"1083","So-21-30529-03","Pod_110",4,58,9.25,57,212.75,1.55,54,2.6,83.2,6.805,54.245,2.75,6.25,"C","9",1083
"1084","So-6-3385-01","Pod_114",4,56,9.25,55.25,260.25,1.6,73.25,2.55,85.5075,9.005,60.9725,1.75,7,"C","9",1084
"1085","So-6-3385-02","Pod_115",5,59,10,59.4,213.2,1.2,56,1.82,51.738,4.962,30.86,1.6,8,"C","9",1085
"1086","So-6-4253-01","Pod_116",3,58,10.6666666666667,58.3333333333333,225,1.53333333333333,79.3333333333333,2.46666666666667,82.2466666666667,6.95,44.9633333333333,2.66666666666667,7.66666666666667,"C","9",1086
"1087","So-6-4452-01","Pod_118",5,57,10.2,58,227.4,1.44,56.8,2.12,67.294,6.936,44.88,2.4,8,"C","9",1087
"1088","So-6-4452-02","Pod_119",6,54,11.8333333333333,54.6666666666667,219.166666666667,1.46666666666667,60.8333333333333,2.31666666666667,71.455,6.50333333333333,50.3466666666667,2.66666666666667,9.16666666666667,"C","9",1088
"1089","So-6-51263-02","Pod_121",6,55,10.1666666666667,55,223.833333333333,1.41666666666667,65.5,2.25,73.5016666666667,5.34666666666667,47.1566666666667,2.66666666666667,7,"C","9",1089
"1090","So-8-11559-01","Pod_122",5,54,8,54,229.4,1.58,58.2,2.48,95.13,6.472,62.204,1.4,6.6,"C","9",1090
"1091","So-8-11559-02","Pod_123",5,51,12.2,51,227.8,1.12,49.6,1.6,37.068,5.158,22.442,4,7.8,"C","9",1091
"1092","So-8-6685-01","Pod_129",6,61,8,61.1666666666667,165,1.55,46.8333333333333,2.28333333333333,49.7966666666667,5.69666666666667,31.3116666666667,2.33333333333333,5.66666666666667,"C","9",1092
"1093","So-8-6685-02","Pod_130",5,54,11.4,54.2,187.2,1.78,54.4,2.9,81.786,6.202,48.018,4,7.6,"C","9",1093
"1094","So-8-6685-03","Pod_131",5,56,10,55,213.4,1.36,47.6,2.16,53.426,5.754,31.616,3,6.6,"C","9",1094
"1095","So-8-6858-02","Pod_133",5,49,7.6,49.8,217,1.28,57,2.22,59.666,5.208,35.716,3.2,4.2,"C","9",1095
"1096","So-8-7024-01","Pod_135",6,58.5,12.1666666666667,57.1666666666667,189.333333333333,1.28333333333333,45,2.14,56.792,6.6852,32.808,5.16666666666667,6.66666666666667,"C","9",1096
"1097","So-8-7291-01","Pod_138",3,56,9,56.5,231.75,1.675,59.75,2.76666666666667,95.12,7.81333333333333,59.3833333333333,2.66666666666667,6.66666666666667,"C","9",1097
"1098","So-8-7539-01","Pod_140",5,52,14.6,52,226,1.54,58.4,2.22,51.82,6.796,33.364,3.6,10.8,"C","9",1098
"1099","So-8-7539-02","Pod_141",4,53.5,10.75,52.75,214.75,1.25,51.5,1.875,53.195,5.7775,35.065,3.25,7.5,"C","9",1099
"1100","So-8-7539-03","Pod_142",5,51,9.8,51.8,214.8,1.4,50.8,2.12,67.87,6.828,45.59,2.6,7,"C","9",1100
"1101","So-8-7539-04","Pod_143",5,57,9.4,55.8,230.6,1.48,70,2.32,77.726,7.13,50.882,2.2,7,"C","9",1101
"1102","So-10-20006-01","Pod_48",5,52,11.6,52.4,256.8,1.76,78.2,2.5,76.792,6.314,51.056,2.6,8.6,"C","9",1102
"1103","So-10-20006-02","Pod_49",6,54,10.8333333333333,54.1666666666667,227,1.43333333333333,62.8333333333333,1.98333333333333,51.9883333333333,6.78,31.0616666666667,3.16666666666667,7.83333333333333,"C","9",1103
"1104","So-10-20006-03","Pod_50",6,55.5,10,56,242,1.63333333333333,73.3333333333333,2.06666666666667,71.3233333333333,6.81,42.1316666666667,3.5,5.83333333333333,"C","9",1104
"1105","So-10-20110-02","Pod_52",4,54,11,53.75,207.5,1.45,55.75,2,47.7975,5.3225,30.905,5.25,6.5,"C","9",1105
"1106","So-10-20110-03","Pod_53",6,54.5,12.1666666666667,54.8333333333333,247.166666666667,1.51666666666667,62.5,2.28333333333333,63.0866666666667,6.95333333333333,42.0266666666667,3,8.66666666666667,"C","9",1106
"1107","So-10-20117-02","Pod_55",6,54,11,54.1666666666667,199.333333333333,1.46666666666667,50.3333333333333,2.23333333333333,64.76,6.6,43.3083333333333,3.66666666666667,6.83333333333333,"C","9",1107
"1108","So-10-20117-03","Pod_56",5,52,8.8,51.8,199.2,1.18,52.4,2.04,52.858,5.738,30.528,3,5.8,"C","9",1108
"1109","So-10-20279-01","Pod_57",5,51,10.8,51,214.4,1.6,51,2.32,75.782,8,51.086,2.6,7.2,"C","9",1109
"1110","So-10-20279-02","Pod_58",5,51,13,50.4,208.8,1.36,52,2.02,54.542,6.628,39.926,5.8,7.2,"C","9",1110
"1111","So-10-20279-03","Pod_59",3,51,9,51.6666666666667,218,1.3,53,1.93333333333333,86.1666666666667,5.79,31.7733333333333,2.33333333333333,6.33333333333333,"C","9",1111
"1112","So-10-20302-01","Pod_60",5,53,8.8,54,225.2,1.68,62,2.58,85.566,6.722,53.348,1.8,7.2,"C","9",1112
"1113","So-10-20302-03","Pod_62",6,58,7.66666666666667,58.3333333333333,223.833333333333,1.51666666666667,51.1666666666667,2.28333333333333,63.5233333333333,6.41666666666667,40.1816666666667,2.5,5.16666666666667,"C","9",1113
"1114","So-10-20327-01","Pod_63",6,55,11.1666666666667,54.1666666666667,211.333333333333,1.45,52.8333333333333,1.95,56.8566666666667,7.09166666666667,38.0133333333333,3.83333333333333,7,"C","9",1114
"1115","So-10-20327-02","Pod_64",6,58,7.66666666666667,60.1666666666667,217.5,1.56666666666667,55,2.23333333333333,70.6966666666667,6.55833333333333,43.6666666666667,2.5,5.16666666666667,"C","9",1115
"1116","So-10-20327-03","Pod_65",5,59,10.4,57.6,187.6,1.3,57.6,1.8,67.608,6.556,45.02,5,5.2,"C","9",1116
"1117","So-10-20333-01","Pod_66",5,56,11.8,55.8,215.4,1.3,57.8,2.16,72.226,6.092,51.522,3.2,8.2,"C","9",1117
"1118","So-10-20333-02","Pod_67",6,60,10.5,59.5,241.5,1.55,72.5,1.93333333333333,55.34,6.42833333333333,33.8166666666667,2,8,"C","9",1118
"1119","So-10-20333-03","Pod_68",5,60,7,58.6,226.8,1.46,62.8,2.24,57.502,7.038,39.618,1.8,5.2,"C","9",1119
"1120","So-10-20333-04","Pod_69",5,56,9.2,56.1666666666667,215.333333333333,1.4,50.1666666666667,2.36,50.968,7.292,31.544,2.6,6.2,"C","9",1120
"1121","So-10-20347-01","Pod_71",5,51,7.8,53.2,220.6,1.66,61.8,2.4,72.76,6.864,47.666,2.2,5.2,"C","9",1121
"1122","So-10-20347-02","Pod_72",3,57,9.66666666666667,56.75,232.75,1.575,58.25,2.46666666666667,87.1533333333333,7.14666666666667,58.5933333333333,3,7,"C","9",1122
"1123","So-10-20347-03","Pod_73",4,56.5,7.75,56.5,234.25,1.5,55.25,2.125,58.4375,6.22,36.825,2.5,5.25,"C","9",1123
"1124","So-10-20363-02","Pod_75",5,51,12.2,49.6,230.2,1.34,55.6,1.86,45.174,4.78,26.194,4.6,7.8,"C","9",1124
"1125","So-10-56965-01","Pod_77",4,54.5,13.5,54.5,238.75,1.5,64,2.225,84.9275,7.3875,51.4575,4.25,9.25,"C","9",1125
"1126","So-10-56965-02","Pod_78",5,59,8,57.8,206.8,1.42,55.2,2.1,58.158,7.15,38.678,2.2,5.2,"C","9",1126
"1127","So-10-56965-03","Pod_79",4,51,12.25,51.75,228,1.575,59,2.4,63.3,4.845,38.415,5.5,7.5,"C","9",1127
"1128","So-21-1061629-01","Pod_80",6,48.5,12,48.8333333333333,223.5,1.16666666666667,49.3333333333333,1.88333333333333,47.545,5.56833333333333,30.7933333333333,4.16666666666667,7.16666666666667,"C","9",1128
"1129","So-21-1061629-02","Pod_81",5,55,16.4,55.8,200.4,1.4,53.4,2.08,44.992,5.648,31.13,3.6,12.6,"C","9",1129
"1130","So-21-28371-01","Pod_83",3,56,14.3333333333333,56.3333333333333,198.333333333333,1.13333333333333,43.6666666666667,1.66666666666667,25.7333333333333,4.20333333333333,18,4,9.33333333333333,"C","9",1130
"1131","So-21-28371-04","Pod_86",5,51,11.2,52.2,236.4,1.4,62.4,1.96,56.784,6.594,38.04,4.4,6.8,"C","9",1131
"1132","So-21-28423-01","Pod_87",5,58,9.8,57.4,209.4,1.44,56,2.2,58.666,6.15,38.598,3.2,7,"C","9",1132
"1133","So-21-28423-02","Pod_88",5,50,10.2,50.4,235.4,1.52,54.4,2.62,72.884,7.602,53.576,3.2,6.8,"C","9",1133
"1134","So-21-28423-03","Pod_89",6,59,7.5,59.5,225.5,1.48333333333333,62.8333333333333,2.51666666666667,57.9616666666667,6.725,40.65,1.66666666666667,5.66666666666667,"C","9",1134
"1135","So-21-28425-01","Pod_90",6,59,6.5,58.5,209.5,1.21666666666667,53.5,1.98333333333333,39.6683333333333,5.115,21.3616666666667,1.66666666666667,4.83333333333333,"C","9",1135
"1136","So-21-28425-02","Pod_91",6,65,7.5,65.6666666666667,216.666666666667,1.78333333333333,58.8333333333333,2.35,82.125,5.585,48.6083333333333,1,6.33333333333333,"C","9",1136
"1137","So-21-28425-03","Pod_92",5,60,9,60.2,194.6,1.34,56.6,1.92,65.906,6.622,46.312,2.4,5.8,"C","9",1137
"1138","So-21-28449-01","Pod_93",5,51,10.6,50.6,251.4,1.38,64.4,2.26,93.554,7.638,56.456,3,7.8,"C","9",1138
"1139","So-21-28449-02","Pod_94",3,58,8.66666666666667,57.6666666666667,211,1.26666666666667,46.6666666666667,1.93333333333333,36.3366666666667,3.79,19.7166666666667,2.66666666666667,4.33333333333333,"C","9",1139
"1140","So-21-28449-04","Pod_96",6,46,12.5,46.5,199.166666666667,1.18333333333333,42.1666666666667,1.78333333333333,32.0583333333333,5.75666666666667,18.015,5.83333333333333,7.16666666666667,"C","9",1140
"1141","So-21-29822-01","Pod_97",1,58,11,58,238,1.6,75,2.6,130.46,8.72,83.13,4,7,"C","9",1141
"1142","So-21-29822-02","Pod_98",6,53,12,54.5,265.166666666667,1.3,81.3333333333333,2.11666666666667,53.0683333333333,7.44,39.2533333333333,2.66666666666667,8.83333333333333,"C","9",1142
"1143","So-21-30218-01","Pod_99",6,57,8,57,260.833333333333,1.61666666666667,65.1666666666667,2.53333333333333,90.145,6.62333333333333,60.6366666666667,1.83333333333333,6,"C","9",1143
"1144","So-21-30507-02","Pod_103",5,51,11,51,244.8,1.62,68.8,2.48,87.52,6.838,53.842,3.4,7.2,"C","9",1144
"1145","So-6-3189-01","Pod_111",4,60.5,13.75,59.5,203.25,1.625,51.75,2.15,50.625,3.9825,43.51,4.75,9,"C","9",1145
"1146","So-6-3189-02","Pod_112",4,60.5,9,60.25,205.5,1.225,58,1.725,31.43,5.83,19.51,3.25,5.75,"C","9",1146
"1147","So-6-3189-03","Pod_113",5,61,8.6,61.6,224,1.96,80.4,2.6,95.874,7.106,62.146,2.2,6.2,"C","9",1147
"1148","So-6-4253-02","Pod_117",6,54.5,12.8333333333333,53.8333333333333,247.166666666667,1.35,69.8333333333333,1.86666666666667,60.1983333333333,6.165,40.2,3.83333333333333,9,"C","9",1148
"1149","So-6-51263-01","Pod_120",4,59,9.75,58.5,247.5,1.3,60.25,2.175,55.2925,6.135,40.4525,2.25,7.75,"C","9",1149
"1150","So-8-11559-03","Pod_124",5,55,9.4,52.6,215.6,1.46,51,2.14,39.364,7.182,25.246,3.8,5.4,"C","9",1150
"1151","So-8-6858-03","Pod_134",4,54,15.75,54.75,244.5,1.6,62.5,2.4,90.99,7.735,61.595,2.75,12.25,"C","9",1151
"1152","So-8-7024-02","Pod_136",6,52,11,52,217.333333333333,1.61666666666667,62.8333333333333,2.61666666666667,86.3383333333333,7.05166666666667,57.5933333333333,2.83333333333333,8.16666666666667,"C","9",1152
"1153","So-8-7024-03","Pod_137",3,54,16.6666666666667,53.6666666666667,220,1.33333333333333,57.3333333333333,1.93333333333333,59.0633333333333,4.69333333333333,38.5166666666667,6.33333333333333,9.66666666666667,"C","9",1153
"1154","So-10-20117-01","Pod_54",5,47,13.2,50.2,203,1.54,49.8,1.98,47.214,5.022,28.69,5,7.8,"C","9",1154
"1155","So-10-20302-02","Pod_61",6,49,11.1666666666667,48.5,211,0.85,45.5,1.31666666666667,26.105,4.79166666666667,15.775,6.33333333333333,4.5,"C","9",1155
"1156","So-10-20333-05","Pod_70",4,52,8.5,52,246.25,1.275,64,2.25,74.1625,7.755,47.3175,3.5,5,"C","9",1156
"1157","So-10-20363-01","Pod_74",5,51,13.6,50,223,1.16,52.2,1.66,44.756,6.39,26.216,6,8,"C","9",1157
"1158","So-10-20363-03","Pod_76",4,50,14.75,50.25,221.75,1.275,56,2.2,50.025,6.4225,29.9025,3.75,11.25,"C","9",1158
"1159","So-21-1061629-03","Pod_82",5,52,12.6,52.2,224.6,1.42,57.6,2,42.138,5.582,31.03,4.6,8,"C","9",1159
"1160","So-21-28371-02","Pod_84",5,55,16,53.6,184.4,1.08,41.2,1.78,33.16,5.204,21.712,6.2,9.8,"C","9",1160
"1161","So-21-28371-03","Pod_85",4,57,9.25,57,235.25,1.375,68,2.15,64.015,6.4775,41.71,2.5,6.75,"C","9",1161
